City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,dean funes,-30.4204,-64.3498,30.15,44,88,4.98,AR,1741123969
319,hwange,-18.3693,26.5019,20.68,94,67,1.03,ZW,1741123970
320,san patricio,28.017,-97.5169,30.97,13,2,11.15,US,1741123972
321,el rosario,24.2556,-107.1828,29.66,13,30,7.43,MX,1741123973
322,egilsstadir,65.2653,-14.3948,-2.05,69,0,3.6,IS,1741123974
323,las terrenas,19.311,-69.5428,28.93,70,40,3.09,DO,1741123975
324,hanzhong,33.0728,107.0303,5.84,84,100,0.46,CN,1741123976
325,kota kinabalu,5.9749,116.0724,24.99,94,20,0.0,MY,1741123978
326,mugia,43.1041,-9.2179,12.17,86,11,7.78,ES,1741123979
327,n'dalatando,-9.2978,14.9116,20.22,95,60,1.03,AO,1741123980
328,kirakira,-10.4544,161.9205,28.59,73,91,1.48,SB,1741123981
329,hammerfest,70.6634,23.6821,-3.75,86,20,1.54,NO,1741123982
330,angaur state,6.906,134.13,28.15,80,53,8.5,PW,1741123985
331,gloversville,43.0528,-74.3438,5.58,57,40,0.0,US,1741123986
332,esperanza,19.5847,-70.9849,26.09,68,62,5.31,DO,1741123987
333,souillac,-20.5167,57.5167,27.21,83,75,4.12,MU,1741123989
334,farkhar,36.5729,69.8578,-0.99,35,11,5.26,AF,1741123990
335,uttarkashi,30.7333,78.45,3.23,56,2,3.2,IN,1741123991
336,nasiriyah,31.0521,46.261,15.7,53,100,8.72,IQ,1741123992
337,ekibastuz,51.6667,75.3667,-13.72,88,41,6.0,KZ,1741123993
338,canico,32.6333,-16.85,16.11,83,40,4.12,PT,1741123995
339,harstad,68.799,16.5293,0.23,85,99,1.79,NO,1741123996
340,bouznika,33.7894,-7.1597,14.86,100,75,2.06,MA,1741123997
341,tobol'sk,58.2,68.2667,-14.48,98,100,2.92,RU,1741123998
342,inari,68.906,27.0288,-11.67,99,78,1.32,FI,1741124000
343,laojunmiao,39.8333,97.7333,-4.85,71,100,5.68,CN,1741124001
344,kuching,1.55,110.3333,25.02,98,40,1.03,MY,1741124002
345,yemva,62.59,50.8594,-4.52,93,100,3.78,RU,1741124003
346,west island,-12.1568,96.8225,27.99,89,20,5.14,CC,1741124005
347,mula,38.0409,-1.4901,12.73,87,100,2.51,ES,1741124006
348,poxoreo,-15.8372,-54.3892,22.59,92,98,0.99,BR,1741123802
349,murashi,59.3999,48.9615,-5.76,95,100,4.06,RU,1741124008
350,cromwell,41.5951,-72.6454,8.12,73,100,7.2,US,1741124010
351,abdulino,53.7,53.6667,-5.64,94,100,7.83,RU,1741124011
352,lionel town,17.8101,-77.2406,27.61,66,25,3.34,JM,1741124013
353,esquel,-42.9,-71.3167,14.17,60,21,7.14,AR,1741123791
354,ar ruways,24.1103,52.7306,20.49,60,92,4.59,AE,1741124016
355,borogontsy,62.6683,131.1683,-28.22,98,100,2.06,RU,1741124017
356,sarakhs,36.5449,61.1577,8.01,32,99,2.6,IR,1741124018
357,gizo,-8.103,156.8419,28.39,78,91,4.31,SB,1741124020
358,victoria falls,-17.9235,25.843,20.32,88,76,1.02,ZW,1741124021
359,tierp,60.3427,17.5181,5.74,86,100,4.78,SE,1741124022
360,ylivieska,64.0833,24.55,-1.77,90,85,3.3,FI,1741124023
361,buta,2.7858,24.73,27.17,56,99,0.78,CD,1741124024
